term,label,class_name,material_scope,definition,examples,usage,source,rdf_type,datatype,required,notes,editorial_notes,namespace,namespace_iri
ConstituentPart,ConstituentPart,ConstituentPart,,A physically discernable part of a compound specimen that has a distinct proportion and role relative to the parent object and a discrete determination based on physical and chemical characteristics. All parts of a compound specimen are unified through physical attachment or other unifying criteria.,,"Each Constituent Part belongs to one and only one Constituent Part Type (Rock, Fossil, Mineral, etc). The shared characteristic among all records that utilize the Mineralogy Extension is they must belong to the Constituent Part Type, Mineral defined as an element or a chemical compound that is normally crystalline and that has been formed as a result of geological processes (Nickel 1995).","Term nomenclature adopted primarily from GeoSciML (4.1 and 3.2), Basic Formal Ontology, and the Geoscience Ontology. The terminology is based on Miller III, W. (2003). Paleobiology of complex trace fossils. Palaeogeography, Palaeoclimatology, Palaeoecology, 192(1-4), 3-14.",http://www.w3.org/2000/01/rdf-schema#Class,,TRUE,Specimens comprised of and defined by Constituent Parts unified through physical attachment or other unifying criteria are referred to as Compound Specimens,,minext,http://rs.tdwg.org/minext/terms/
materialEntityIdentifier,Material Entity Identifier,ConstituentPart,Specimen,Globally unique identifier of the parent dwc:MaterialEntity. Establishes a relationship with an Material Entity record,8fa58e08-08de-4ac1-b69c-1235340b7111,Required to establish a relationship between a parent material entity record (specimen-level) with zero to many child mineral records (mineral-level),,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,TRUE,,Changed from occurrenceID to materialIdentifier,minext,http://rs.tdwg.org/minext/terms/
constituentPartIdentifier,Mineral Identifier,ConstituentPart,Mineral,A unique identifier for an instance of a ConstituentPart.,8fa58e08-08de-4ac1-b69c-1235340b7111,"In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the dwc:constituentPartID globally unique. Recommended best practice is to use a persistent, globally unique identifier. Constituent Part ID is used to construct the relationship between a specimen (compound object) and mineral (constituent part).",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,TRUE,,,minext,http://rs.tdwg.org/minext/terms/
constituentPartType,Constituent Part Type,ConstituentPart,Mineral,"Term belonging to an upper-level, generalized Classification Scheme of Constituent Parts (https://docs.google.com/spreadsheets/d/1YiLQaW8-bauA-cdO6v5Gv4keb8gja_zcIH6B8bsGqIw/edit?gid=909692701#gid=909692701)",Mineral | Fossil | Rock,Recommended best practice is to use a shared controlled vocabulary. A Constituent Part belongs to only one Constituent Part Type.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,TRUE,"The formal name assigned to a geoscience collection is traditionally based on the predominant Constituent Part Type of specimens in the collection or the field of science associated with the respective part type (e.g., Mineral Collection or Mineralogy Collection).",,minext,http://rs.tdwg.org/minext/terms/
constituentPartProportion,Proportion,ConstituentPart,Mineral,The qualitative or quantitative fraction the geologic specimen is composed of the constituent part,20% | minor | dominant,Recommended best practice is to use a controlled vocabulary such as https://cgi.vocabs.ga.gov.au/object?uri=http%3A//resource.geosciml.org/classifier/cgi/proportionterm,Definition adopted from GeoSciML 4.1,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
constituentPartRole,Role,ConstituentPart,Mineral,Specifies the relationship between a constituent part and its parent geologic specimen,matrix | groundmass | phenocryst | xenolith | vein,Recommended best practice is to use a controlled vocabulary such as https://cgi.vocabs.ga.gov.au/object?uri=http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,The role defines the relationship between a constituent part and its parent compound object.,,minext,http://rs.tdwg.org/minext/terms/
predicatedName,Predicated Name,ConstituentPart,Specimen,A compound name of a specimen that includes two parts: 1) Mineral names and 2) One or more term separators (predicates) that define the relationship between the minerals in a specimen.,Azurite after Malachite | Rutile in Quartz,Always contains at least three parts: 2 mineral names and the predicated phrase that defines the relationship between them. A predicated name may contain more than two mineral names.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
MineralName,Mineral Name,MineralName,,The designation of a mineral by a linguistic expression including both informal (verbatim) and formal (classifications) types,,,,http://www.w3.org/2000/01/rdf-schema#Class,,TRUE,,,minext,http://rs.tdwg.org/minext/terms/
name,Name,MineralName,Mineral,"A human-readable lexical label assigned to a mineral includes both informal (e.g., variety, synonym) and formal (classification) forms",Quartz | Smoky Quartz | Muscovite | Garnet Group,The name defined in the first object is considered the preferred name,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,TRUE,"For linked data and semantic purposes, the classification name is the skos:prefLabel and all other informal names are skos:altLabel",,minext,http://rs.tdwg.org/minext/terms/
nameIdentifier,Name Identifier,MineralName,Mineral,An identifier for the set of dwc:MineralName information. May be a global unique identifier or an identifier specific to the data set.,8fa58e08-08de-4ac1-b69c-1235340b7001 | https://api.mindat.org/minerals_ima/21,"Recommended best practice is to use a persistent, globally unique identifier. Name ID is used to establish the one to many relationship between dwc:Mineral and dwc:MineralName that allows the assignment of multiple names to a single mineral in a specimen",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,TRUE,,,minext,http://rs.tdwg.org/minext/terms/
